探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2
20,3.43,47338612,13797322.06,25071,574168,98089,0,26907,107025,1167,23,0,3,56,-0.40,B2
19,1.56,21510719,13824369.54,23466,294279,45054,0,5083,13346,1002,20,0,2,37,0.40,F7

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2
20,7.51,109616701,14601931.66,4684,758383,103590,0,35315,276922,428,9,0,0,9,0.42,A8
19,2.68,41186792,15345302.53,2319,321024,45826,0,6167,17283,223,6,0,0,3,-0.42,G5

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8
20,2.71,37584195,13873826.14,4911,444761,69495,0,11077,47073,386,15,0,0,3,0.24,D6
19,1.05,15135823,14360363.38,4911,158515,32100,0,1824,2127,385,15,0,0,3,-0.24,F8

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8
20,2.00,27181017,13597307.15,17172,346388,59743,0,6669,22423,641,9,0,2,5,0.12,C8
19,0.45,6038665,13330386.31,3250,90704,8794,0,272,433,156,2,0,0,0,-0.12,E3

F5D6C7D7C5B7D3F4E6C4C6D2B8G6E8B6A6A7C3B3A8F7G5C8F6E7B2H5B4A3A4C1E1G7H7C2F3D8
22,6.11,78299131,12808626.04,27264,902180,149470,0,55937,624133,1617,21,0,2,169,-0.04,A1
21,3.93,51254798,13031985.25,39299,692862,149361,0,42358,205396,2344,45,0,13,463,0.04,A2

D3C3B3D2E1D6E6F6C2D1C1F3D7C5B4B2A2C6C7A1A3A4G7G6H6C4E3E7B5D8F7G5F8E8G4H4B7H5
22,4.63,63260094,13648348.22,13043,765650,61252,0,21531,289169,565,7,0,0,5,-0.32,G8
21,1.38,18715604,13571866.57,10192,301667,22420,0,2531,14417,449,7,0,0,6,0.32,F4

C4E3F6B4C3D2A4A5B2E6F3G3E1B3F4D3E2F2A6G4H4C1A3G5F5G6C2G1H6H2C6B1E7C5B5G7H3E8
22,3.52,45002468,12773905.19,19642,701777,82998,0,23824,206765,1292,31,0,2,80,-0.08,D1
21,1.06,13663940,12927095.55,11429,237368,36220,0,3435,7335,819,16,0,1,20,0.08,A1

F5F6E6F4G5G6G3E7C4F3D6B3H6H3C5H5C3D3D8H7A2E3B2E8D2C6G4B5F7A3C7D1F2F8C1B8G7E1
22,9.66,129176825,13376496.32,57411,981923,238220,0,112311,1048677,2404,32,0,9,487,-0.06,C8
21,6.20,88417724,14267827.01,36137,742115,148394,0,39476,257999,1397,22,0,3,110,0.06,D7

