探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
10,0.13,1066877,8400606.30,4098,25686,3554,78,4,268527,0.92,F6
10,0.30,2576671,8617628.76,2543,57825,16388,161,28,651814,-2.63,D3
12,1.10,9146284,8322369.43,7168,249252,42150,1942,247,2426463,0.75,F6
12,1.74,14782996,8481351.69,3163,415143,72232,5064,600,4032361,-2.30,F7
14,8.06,66892844,8296272.36,13171,1846385,259399,98475,12462,17573439,-0.29,F6
14,13.93,116922363,8394770.46,9659,3399658,538770,324667,38554,33815268,-2.13,F7

E6F6G6F4F3F2C4C3G2E3
10,0.50,4601244,9239445.78,10503,69832,23227,192,49,1194839,-24.44,F5
10,0.96,8706980,9022777.20,11965,85438,33782,264,61,1566592,25.00,G3
12,4.34,39921143,9198420.05,22898,751008,213404,16594,4806,11319954,-23.44,F5
12,6.50,57619480,8861808.67,30517,696082,166092,14320,2877,10493575,23.57,G3
14,29.21,264778892,9064665.94,47310,5250931,1164675,752627,168577,83612473,-21.37,F5
14,60.52,523174949,8644662.08,176396,5634187,1420491,864012,174640,94947760,23.11,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
10,0.10,752383,7234451.92,947,28026,3799,76,2,176785,22.36,E6
10,0.10,742559,7816410.53,1786,45250,9350,114,16,312715,-20.06,F8
12,0.50,3501207,6946839.29,1341,163415,20982,957,88,876589,25.11,E6
12,0.41,3033069,7452257.99,2004,229503,41562,1781,280,1300168,-25.37,F8
14,2.25,14858189,6597774.87,2575,838615,109186,21878,2400,4061563,24.71,E6
14,2.29,16716751,7309466.99,4548,1376590,243046,56464,9329,7280240,-24.74,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
10,0.24,1883273,7846970.83,5359,66782,19653,225,47,623049,7.10,D3
10,0.40,3161136,7922646.62,9257,85431,18281,269,44,692876,-7.35,F7
12,1.48,11641168,7844452.83,10956,506842,125116,7707,1936,4224071,7.91,D3
12,2.02,15412729,7622516.82,3601,523791,68342,8211,1016,3660464,-6.61,A6
14,9.04,69808466,7718760.06,16851,3355131,667940,316526,65870,26950780,5.63,D3
14,12.12,89235522,7361452.07,7153,3412390,421739,327608,40090,22733216,-5.29,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,2881,inf,901,1104,128,25,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4
10,0.00,2881,inf,901,1103,128,26,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4
10,0.00,2881,inf,901,1103,128,26,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4

